,date,type,value
293,2021-06-12,FlightsClimbed,18.0
294,2021-06-12,StepCount,11712.0
295,2021-06-13,DistanceWalkingRunning,0.37801
296,2021-06-13,StepCount,548.0
297,2021-06-14,DistanceWalkingRunning,0.39935
298,2021-06-14,StepCount,568.0
299,2021-06-15,DistanceWalkingRunning,1.53774
300,2021-06-15,FlightsClimbed,10.0
301,2021-06-15,StepCount,2500.0
302,2021-06-16,DistanceWalkingRunning,5.67106
303,2021-06-16,FlightsClimbed,13.0
304,2021-06-16,StepCount,9602.0
305,2021-06-17,DistanceWalkingRunning,2.87102
306,2021-06-17,FlightsClimbed,4.0
307,2021-06-17,StepCount,4600.0
308,2021-06-18,DistanceWalkingRunning,0.14759
309,2021-06-18,StepCount,219.0
310,2021-06-19,DistanceWalkingRunning,4.8717
311,2021-06-19,FlightsClimbed,6.0
312,2021-06-19,StepCount,8205.0
313,2021-06-20,DistanceWalkingRunning,0.26673
314,2021-06-20,StepCount,388.0
315,2021-06-21,DistanceWalkingRunning,1.62425
316,2021-06-21,FlightsClimbed,9.0
317,2021-06-21,StepCount,2639.0
318,2021-06-22,DistanceWalkingRunning,1.64133
319,2021-06-22,FlightsClimbed,1.0
320,2021-06-22,StepCount,2746.0
321,2021-06-23,DistanceWalkingRunning,1.8023
322,2021-06-23,FlightsClimbed,1.0
323,2021-06-23,StepCount,3055.0
324,2021-06-24,DistanceWalkingRunning,3.1890300000000003
325,2021-06-24,FlightsClimbed,7.0
326,2021-06-24,StepCount,5608.0
327,2021-06-25,DistanceWalkingRunning,2.1134500000000003
328,2021-06-25,FlightsClimbed,15.0
329,2021-06-25,StepCount,3498.0
330,2021-06-26,DistanceWalkingRunning,3.17788
331,2021-06-26,FlightsClimbed,1.0
332,2021-06-26,StepCount,5475.0
333,2021-06-27,DistanceWalkingRunning,3.2631200000000002
334,2021-06-27,StepCount,5989.0
335,2021-06-28,DistanceWalkingRunning,1.7538
336,2021-06-28,FlightsClimbed,1.0
337,2021-06-28,StepCount,2979.0
338,2021-06-29,DistanceWalkingRunning,0.40257
339,2021-06-29,StepCount,595.0
340,2021-06-30,DistanceWalkingRunning,0.08912
341,2021-06-30,StepCount,129.0
342,2021-07-01,DistanceWalkingRunning,0.36926
343,2021-07-01,StepCount,533.0
344,2021-07-02,DistanceWalkingRunning,2.55112
345,2021-07-02,FlightsClimbed,8.0
346,2021-07-02,StepCount,3791.0
347,2021-07-03,DistanceWalkingRunning,0.33242
348,2021-07-03,StepCount,486.0
349,2021-07-04,DistanceWalkingRunning,2.9029700000000003
350,2021-07-04,FlightsClimbed,2.0
351,2021-07-04,StepCount,5052.0
352,2021-07-05,DistanceWalkingRunning,4.7455300000000005
353,2021-07-05,FlightsClimbed,4.0
354,2021-07-05,StepCount,8317.0
355,2021-07-06,DistanceWalkingRunning,4.35783
356,2021-07-06,FlightsClimbed,10.0
357,2021-07-06,StepCount,6683.0
358,2021-07-07,DistanceWalkingRunning,3.5249599999999996
359,2021-07-07,FlightsClimbed,7.0
360,2021-07-07,StepCount,5588.0
361,2021-07-08,DistanceWalkingRunning,1.08636
362,2021-07-08,FlightsClimbed,3.0
363,2021-07-08,StepCount,1691.0
364,2021-07-09,DistanceWalkingRunning,3.9174
365,2021-07-09,FlightsClimbed,8.0
366,2021-07-09,StepCount,6408.0
367,2021-07-10,DistanceWalkingRunning,5.2511
368,2021-07-10,FlightsClimbed,4.0
369,2021-07-10,StepCount,8592.0
370,2021-07-11,DistanceWalkingRunning,6.383146
371,2021-07-11,FlightsClimbed,3.0
372,2021-07-11,StepCount,9468.0
373,2021-07-12,DistanceWalkingRunning,2.85219
374,2021-07-12,FlightsClimbed,8.0
375,2021-07-12,StepCount,4171.0
376,2021-07-13,DistanceWalkingRunning,0.17426
377,2021-07-13,StepCount,249.0
378,2021-07-14,DistanceWalkingRunning,0.18258
379,2021-07-14,StepCount,263.0
380,2021-07-15,DistanceWalkingRunning,7.63805
381,2021-07-15,FlightsClimbed,7.0
382,2021-07-15,StepCount,10456.0
383,2021-07-16,DistanceWalkingRunning,3.67413
384,2021-07-16,FlightsClimbed,4.0
385,2021-07-16,StepCount,6161.0
386,2021-07-17,DistanceWalkingRunning,0.25884
387,2021-07-17,StepCount,390.0
388,2021-07-18,DistanceWalkingRunning,2.3687199999999997
389,2021-07-18,FlightsClimbed,2.0
390,2021-07-18,StepCount,4035.0
391,2021-07-19,DistanceWalkingRunning,3.22674
392,2021-07-19,FlightsClimbed,4.0
393,2021-07-19,StepCount,5117.0
394,2021-07-20,DistanceWalkingRunning,3.19895
395,2021-07-20,FlightsClimbed,2.0
396,2021-07-20,StepCount,4601.0
397,2021-07-21,DistanceWalkingRunning,0.17024
398,2021-07-21,StepCount,246.0
399,2021-07-22,DistanceWalkingRunning,0.26124
400,2021-07-22,StepCount,369.0
401,2021-07-23,DistanceWalkingRunning,0.22179
402,2021-07-23,StepCount,320.0
403,2021-07-24,DistanceWalkingRunning,0.18408
404,2021-07-24,StepCount,273.0
405,2021-07-25,DistanceWalkingRunning,2.0646299999999997
406,2021-07-25,StepCount,3712.0
407,2021-07-26,DistanceWalkingRunning,3.98611
408,2021-07-26,StepCount,6801.0
409,2021-07-27,DistanceWalkingRunning,5.50369
410,2021-07-27,FlightsClimbed,2.0
411,2021-07-27,StepCount,8861.0
412,2021-07-28,DistanceWalkingRunning,1.6998
413,2021-07-28,StepCount,2958.0
414,2021-07-29,DistanceWalkingRunning,3.81682
415,2021-07-29,FlightsClimbed,5.0
416,2021-07-29,StepCount,6283.0
417,2021-07-30,DistanceWalkingRunning,4.4892
418,2021-07-30,StepCount,7917.0
419,2021-07-31,DistanceWalkingRunning,2.52507
420,2021-07-31,FlightsClimbed,1.0
421,2021-07-31,StepCount,4355.0
422,2021-08-01,DistanceWalkingRunning,6.33495
423,2021-08-01,FlightsClimbed,2.0
424,2021-08-01,StepCount,11464.0
425,2021-08-02,DistanceWalkingRunning,5.42669
426,2021-08-02,FlightsClimbed,16.0
427,2021-08-02,StepCount,9215.0
428,2021-08-03,DistanceWalkingRunning,4.612369999999999
429,2021-08-03,FlightsClimbed,6.0
430,2021-08-03,StepCount,7829.0
431,2021-08-04,DistanceWalkingRunning,9.5849
432,2021-08-04,FlightsClimbed,7.0
433,2021-08-04,StepCount,15850.0
434,2021-08-05,DistanceWalkingRunning,4.02755
435,2021-08-05,FlightsClimbed,7.0
436,2021-08-05,StepCount,6878.0
437,2021-08-06,DistanceWalkingRunning,4.93675
438,2021-08-06,FlightsClimbed,1.0
439,2021-08-06,StepCount,8660.0
440,2021-08-07,DistanceWalkingRunning,2.49006
441,2021-08-07,FlightsClimbed,3.0
442,2021-08-07,StepCount,4266.0
443,2021-08-08,DistanceWalkingRunning,5.5118599999999995
444,2021-08-08,FlightsClimbed,2.0
445,2021-08-08,StepCount,9549.0
446,2021-08-09,DistanceWalkingRunning,1.38286
447,2021-08-09,StepCount,2341.0
448,2021-08-10,DistanceWalkingRunning,4.69391
449,2021-08-10,FlightsClimbed,12.0
450,2021-08-10,StepCount,7722.0
451,2021-08-11,DistanceWalkingRunning,5.5342
452,2021-08-11,FlightsClimbed,13.0
453,2021-08-11,StepCount,9136.0
454,2021-08-12,DistanceWalkingRunning,6.43991
455,2021-08-12,FlightsClimbed,3.0
456,2021-08-12,StepCount,10656.0
457,2021-08-13,DistanceWalkingRunning,6.758411
458,2021-08-13,FlightsClimbed,1.0
459,2021-08-13,StepCount,9972.0
460,2021-08-14,DistanceWalkingRunning,6.4047
461,2021-08-14,FlightsClimbed,4.0
462,2021-08-14,StepCount,11136.0
463,2021-08-15,DistanceWalkingRunning,8.516456
464,2021-08-15,StepCount,13342.0
465,2021-08-16,DistanceWalkingRunning,4.75404
466,2021-08-16,FlightsClimbed,1.0
467,2021-08-16,StepCount,7754.0
468,2021-08-17,DistanceWalkingRunning,9.838824
469,2021-08-17,FlightsClimbed,6.0
470,2021-08-17,StepCount,15943.0
471,2021-08-18,DistanceWalkingRunning,5.55523
472,2021-08-18,FlightsClimbed,3.0
473,2021-08-18,StepCount,9524.0
474,2021-08-19,DistanceWalkingRunning,2.56843
475,2021-08-19,FlightsClimbed,1.0
476,2021-08-19,StepCount,4264.0
477,2021-08-20,DistanceWalkingRunning,3.3185700000000002
478,2021-08-20,FlightsClimbed,1.0
479,2021-08-20,StepCount,5774.0
480,2021-08-21,DistanceWalkingRunning,4.266
481,2021-08-21,FlightsClimbed,3.0
482,2021-08-21,StepCount,7366.0
483,2021-08-22,DistanceWalkingRunning,3.01755
484,2021-08-22,FlightsClimbed,4.0
485,2021-08-22,StepCount,4363.0
486,2021-08-23,DistanceWalkingRunning,2.7013000000000003
487,2021-08-23,FlightsClimbed,2.0
488,2021-08-23,StepCount,3975.0
489,2021-08-24,DistanceWalkingRunning,7.887633
490,2021-08-24,FlightsClimbed,8.0
491,2021-08-24,StepCount,12511.0
492,2021-08-25,DistanceWalkingRunning,2.62444
493,2021-08-25,FlightsClimbed,2.0
494,2021-08-25,StepCount,3977.0
495,2021-08-26,DistanceWalkingRunning,7.20303
496,2021-08-26,FlightsClimbed,19.0
497,2021-08-26,StepCount,11610.0
498,2021-08-27,DistanceWalkingRunning,2.13946
499,2021-08-27,FlightsClimbed,4.0
500,2021-08-27,StepCount,3111.0
501,2021-08-28,DistanceWalkingRunning,3.4172599999999997
502,2021-08-28,FlightsClimbed,3.0
503,2021-08-28,StepCount,5687.0
504,2021-08-29,DistanceWalkingRunning,3.8414
505,2021-08-29,FlightsClimbed,2.0
506,2021-08-29,StepCount,6508.0
507,2021-08-30,DistanceWalkingRunning,8.056868
508,2021-08-30,FlightsClimbed,8.0
509,2021-08-30,StepCount,14001.0
510,2021-08-31,DistanceWalkingRunning,5.668121999999999
511,2021-08-31,FlightsClimbed,11.0
512,2021-08-31,StepCount,8986.0
513,2021-09-01,DistanceWalkingRunning,4.56248
514,2021-09-01,FlightsClimbed,14.0
515,2021-09-01,StepCount,7364.0
516,2021-09-02,DistanceWalkingRunning,3.82398
517,2021-09-02,FlightsClimbed,22.0
518,2021-09-02,StepCount,6051.0
519,2021-09-03,DistanceWalkingRunning,6.77276
520,2021-09-03,FlightsClimbed,21.0
521,2021-09-03,StepCount,11318.0
522,2021-09-04,DistanceWalkingRunning,1.76644
523,2021-09-04,FlightsClimbed,15.0
524,2021-09-04,StepCount,2757.0
525,2021-09-05,DistanceWalkingRunning,6.5620259
526,2021-09-05,FlightsClimbed,4.0
527,2021-09-05,StepCount,11490.0
528,2021-09-06,DistanceWalkingRunning,5.161137
529,2021-09-06,FlightsClimbed,13.0
530,2021-09-06,StepCount,8080.0
531,2021-09-07,DistanceWalkingRunning,2.7277299999999998
532,2021-09-07,FlightsClimbed,20.0
533,2021-09-07,StepCount,4448.0
534,2021-09-08,DistanceWalkingRunning,4.331981
535,2021-09-08,FlightsClimbed,20.0
536,2021-09-08,StepCount,7306.0
537,2021-09-09,DistanceWalkingRunning,4.60789
538,2021-09-09,FlightsClimbed,16.0
539,2021-09-09,StepCount,7487.0
540,2021-09-10,DistanceWalkingRunning,6.25945
541,2021-09-10,FlightsClimbed,32.0
542,2021-09-10,StepCount,10162.0
543,2021-09-11,DistanceWalkingRunning,7.0043
544,2021-09-11,FlightsClimbed,20.0
545,2021-09-11,StepCount,12089.0
546,2021-09-12,DistanceWalkingRunning,3.9849
547,2021-09-12,FlightsClimbed,3.0
548,2021-09-12,StepCount,6776.0
549,2021-09-13,DistanceWalkingRunning,7.05654
550,2021-09-13,FlightsClimbed,20.0
551,2021-09-13,StepCount,11776.0
552,2021-09-14,DistanceWalkingRunning,2.010434
553,2021-09-14,FlightsClimbed,15.0
554,2021-09-14,StepCount,3180.0
555,2021-09-15,DistanceWalkingRunning,4.03519
556,2021-09-15,FlightsClimbed,13.0
557,2021-09-15,StepCount,6459.0
558,2021-09-16,DistanceWalkingRunning,1.72556
559,2021-09-16,FlightsClimbed,10.0
560,2021-09-16,StepCount,2815.0
561,2021-09-17,DistanceWalkingRunning,2.184124
562,2021-09-17,FlightsClimbed,14.0
563,2021-09-17,StepCount,3510.0
564,2021-09-18,DistanceWalkingRunning,3.534189
565,2021-09-18,FlightsClimbed,19.0
566,2021-09-18,StepCount,5156.0
567,2021-09-19,DistanceWalkingRunning,1.4488287
568,2021-09-19,FlightsClimbed,3.0
569,2021-09-19,StepCount,2077.0
570,2021-09-20,DistanceWalkingRunning,2.58802
571,2021-09-20,FlightsClimbed,11.0
572,2021-09-20,StepCount,3516.0
573,2021-09-21,DistanceWalkingRunning,2.251937
574,2021-09-21,FlightsClimbed,12.0
575,2021-09-21,StepCount,3139.0
576,2021-09-22,DistanceWalkingRunning,5.0016
577,2021-09-22,FlightsClimbed,12.0
578,2021-09-22,StepCount,6700.0
579,2021-09-23,DistanceWalkingRunning,4.017044
580,2021-09-23,FlightsClimbed,16.0
581,2021-09-23,StepCount,5425.0
582,2021-09-24,DistanceWalkingRunning,4.91045
583,2021-09-24,FlightsClimbed,20.0
584,2021-09-24,StepCount,6848.0
585,2021-09-25,DistanceWalkingRunning,2.5251122
586,2021-09-25,FlightsClimbed,20.0
587,2021-09-25,StepCount,3420.0
588,2021-09-26,DistanceWalkingRunning,3.23045
589,2021-09-26,StepCount,4179.0
590,2021-09-27,DistanceWalkingRunning,3.9550739999999998
591,2021-09-27,FlightsClimbed,22.0
592,2021-09-27,StepCount,6494.0
593,2021-09-28,DistanceWalkingRunning,4.57803
594,2021-09-28,FlightsClimbed,9.0
595,2021-09-28,StepCount,6533.0
