,date,type,value
167,2021-04-07,WalkingDoubleSupportPercentage,0.3175
168,2021-04-07,WalkingSpeed,3.51
169,2021-04-07,WalkingStepLength,62.5
170,2021-04-08,HeadphoneAudioExposure,68.72494038461538
171,2021-04-09,HeadphoneAudioExposure,63.28932042857142
172,2021-04-10,HeadphoneAudioExposure,72.03216
173,2021-04-10,WalkingDoubleSupportPercentage,0.283
174,2021-04-10,WalkingSpeed,4.716
175,2021-04-10,WalkingStepLength,80.0
176,2021-04-11,HeadphoneAudioExposure,68.90131875
177,2021-04-12,HeadphoneAudioExposure,70.76020327868852
178,2021-04-12,WalkingAsymmetryPercentage,0.015
179,2021-04-12,WalkingDoubleSupportPercentage,0.2832857142857143
180,2021-04-12,WalkingSpeed,4.508
181,2021-04-12,WalkingStepLength,76.11111111111111
182,2021-04-13,HeadphoneAudioExposure,72.3398619047619
183,2021-04-13,WalkingAsymmetryPercentage,0.005555555555555556
184,2021-04-13,WalkingDoubleSupportPercentage,0.27184615384615385
185,2021-04-13,WalkingSpeed,4.944599999999999
186,2021-04-13,WalkingStepLength,79.05
187,2021-04-14,HeadphoneAudioExposure,70.81786612903225
188,2021-04-14,WalkingAsymmetryPercentage,0.0016666666666666668
189,2021-04-14,WalkingDoubleSupportPercentage,0.2832
190,2021-04-14,WalkingSpeed,4.552363636363636
191,2021-04-14,WalkingStepLength,72.63636363636364
192,2021-04-15,HeadphoneAudioExposure,67.88733823529412
193,2021-04-15,WalkingAsymmetryPercentage,0.01
194,2021-04-15,WalkingDoubleSupportPercentage,0.28833333333333333
195,2021-04-15,WalkingSpeed,4.644
196,2021-04-15,WalkingStepLength,73.77777777777777
197,2021-04-16,HeadphoneAudioExposure,72.41688064516129
198,2021-04-16,WalkingAsymmetryPercentage,0.0023529411764705885
199,2021-04-16,WalkingDoubleSupportPercentage,0.29912
200,2021-04-16,WalkingSpeed,4.560923076923077
201,2021-04-16,WalkingStepLength,79.57692307692308
202,2021-04-17,HeadphoneAudioExposure,71.27650263157894
203,2021-04-17,WalkingAsymmetryPercentage,0.007058823529411764
204,2021-04-17,WalkingDoubleSupportPercentage,0.28085714285714286
205,2021-04-17,WalkingSpeed,4.966363636363637
206,2021-04-17,WalkingStepLength,79.81818181818181
207,2021-04-18,HeadphoneAudioExposure,66.18326923076924
208,2021-04-18,WalkingDoubleSupportPercentage,0.32225
209,2021-04-18,WalkingSpeed,4.405846153846154
210,2021-04-18,WalkingStepLength,73.15384615384616
211,2021-04-19,HeadphoneAudioExposure,71.13690508474576
212,2021-04-19,WalkingAsymmetryPercentage,0.006
213,2021-04-19,WalkingDoubleSupportPercentage,0.29483333333333334
214,2021-04-19,WalkingSpeed,5.101411764705882
215,2021-04-19,WalkingStepLength,76.58823529411765
216,2021-04-20,HeadphoneAudioExposure,68.23855714285715
217,2021-04-20,WalkingDoubleSupportPercentage,0.305
218,2021-04-20,WalkingSpeed,4.9176
219,2021-04-20,WalkingStepLength,77.4
220,2021-04-21,HeadphoneAudioExposure,71.1751081081081
221,2021-04-21,WalkingDoubleSupportPercentage,0.32
222,2021-04-21,WalkingSpeed,4.311692307692308
223,2021-04-21,WalkingStepLength,69.0
224,2021-04-22,HeadphoneAudioExposure,71.23826086956522
225,2021-04-22,WalkingAsymmetryPercentage,0.035
226,2021-04-22,WalkingDoubleSupportPercentage,0.26480000000000004
227,2021-04-22,WalkingSpeed,4.610117647058823
228,2021-04-22,WalkingStepLength,73.70588235294117
229,2021-04-23,HeadphoneAudioExposure,65.47136428571429
230,2021-04-23,WalkingAsymmetryPercentage,0.016
231,2021-04-23,WalkingDoubleSupportPercentage,0.2671111111111111
232,2021-04-23,WalkingSpeed,5.2596
233,2021-04-23,WalkingStepLength,79.7
234,2021-04-24,HeadphoneAudioExposure,70.29074893617022
235,2021-04-24,WalkingAsymmetryPercentage,0.0
236,2021-04-24,WalkingDoubleSupportPercentage,0.273
237,2021-04-24,WalkingSpeed,5.004
238,2021-04-24,WalkingStepLength,78.4
239,2021-04-25,HeadphoneAudioExposure,69.97021538461539
240,2021-04-25,WalkingAsymmetryPercentage,0.026000000000000002
241,2021-04-25,WalkingDoubleSupportPercentage,0.3184
242,2021-04-25,WalkingSpeed,4.201714285714286
243,2021-04-25,WalkingStepLength,71.57142857142857
244,2021-04-26,HeadphoneAudioExposure,70.60513768115942
245,2021-04-26,WalkingAsymmetryPercentage,0.095
246,2021-04-26,WalkingDoubleSupportPercentage,0.30433333333333334
247,2021-04-26,WalkingSpeed,4.608
248,2021-04-26,WalkingStepLength,74.0
249,2021-04-27,HeadphoneAudioExposure,69.78217073170731
250,2021-04-28,HeadphoneAudioExposure,69.91507777777778
251,2021-04-28,WalkingAsymmetryPercentage,0.02
252,2021-04-28,WalkingDoubleSupportPercentage,0.2955
253,2021-04-28,WalkingSpeed,4.4496
254,2021-04-28,WalkingStepLength,73.5
255,2021-04-29,HeadphoneAudioExposure,72.52908214285715
256,2021-04-29,WalkingAsymmetryPercentage,0.005
257,2021-04-29,WalkingDoubleSupportPercentage,0.30175
258,2021-04-29,WalkingSpeed,4.156363636363636
259,2021-04-29,WalkingStepLength,68.63636363636364
260,2021-04-30,HeadphoneAudioExposure,65.10314109589041
261,2021-04-30,WalkingAsymmetryPercentage,0.06857142857142857
262,2021-04-30,WalkingDoubleSupportPercentage,0.2968888888888889
263,2021-04-30,WalkingSpeed,4.56
264,2021-04-30,WalkingStepLength,78.27777777777777
265,2021-05-01,HeadphoneAudioExposure,70.38079459459459
266,2021-05-01,WalkingAsymmetryPercentage,0.144
267,2021-05-01,WalkingDoubleSupportPercentage,0.317
268,2021-05-01,WalkingSpeed,3.931636363636364
269,2021-05-01,WalkingStepLength,68.78787878787878
270,2021-05-02,HeadphoneAudioExposure,69.7026925925926
271,2021-05-02,WalkingAsymmetryPercentage,0.046363636363636364
272,2021-05-02,WalkingDoubleSupportPercentage,0.32266666666666666
273,2021-05-02,WalkingSpeed,3.4174285714285717
274,2021-05-02,WalkingStepLength,65.92857142857143
275,2021-05-03,HeadphoneAudioExposure,70.46400740740741
276,2021-05-03,WalkingAsymmetryPercentage,0.054285714285714284
277,2021-05-03,WalkingDoubleSupportPercentage,0.274875
278,2021-05-03,WalkingSpeed,4.488
279,2021-05-03,WalkingStepLength,72.83333333333333
280,2021-05-04,HeadphoneAudioExposure,66.60392413793103
281,2021-05-05,HeadphoneAudioExposure,69.8763
282,2021-05-05,WalkingAsymmetryPercentage,0.0
283,2021-05-05,WalkingDoubleSupportPercentage,0.28819999999999996
284,2021-05-05,WalkingSpeed,4.450153846153846
285,2021-05-05,WalkingStepLength,71.3076923076923
286,2021-05-06,HeadphoneAudioExposure,65.69051923076924
287,2021-05-06,WalkingAsymmetryPercentage,0.0
288,2021-05-06,WalkingDoubleSupportPercentage,0.281
289,2021-05-06,WalkingSpeed,4.646571428571428
290,2021-05-06,WalkingStepLength,74.64285714285714
291,2021-05-07,HeadphoneAudioExposure,70.68200909090909
292,2021-05-07,WalkingAsymmetryPercentage,0.0033333333333333335
293,2021-05-07,WalkingDoubleSupportPercentage,0.312
294,2021-05-07,WalkingSpeed,3.78
295,2021-05-07,WalkingStepLength,67.83333333333333
296,2021-05-08,HeadphoneAudioExposure,67.19370208333333
297,2021-05-08,WalkingAsymmetryPercentage,0.0
298,2021-05-08,WalkingDoubleSupportPercentage,0.25780000000000003
299,2021-05-08,WalkingSpeed,4.9365
300,2021-05-08,WalkingStepLength,77.5
301,2021-05-09,HeadphoneAudioExposure,67.66407272727272
302,2021-05-09,WalkingAsymmetryPercentage,0.036470588235294116
303,2021-05-09,WalkingDoubleSupportPercentage,0.31522222222222224
304,2021-05-09,WalkingSpeed,3.7223999999999995
305,2021-05-09,WalkingStepLength,69.25
306,2021-05-10,HeadphoneAudioExposure,72.87470263157894
307,2021-05-10,WalkingAsymmetryPercentage,0.01
308,2021-05-10,WalkingDoubleSupportPercentage,0.2884285714285714
309,2021-05-10,WalkingSpeed,5.085
310,2021-05-10,WalkingStepLength,78.9
311,2021-05-11,HeadphoneAudioExposure,68.90845238095238
312,2021-05-11,WalkingDoubleSupportPercentage,0.304
313,2021-05-11,WalkingSpeed,3.42
314,2021-05-11,WalkingStepLength,68.0
315,2021-05-12,HeadphoneAudioExposure,71.96969310344826
316,2021-05-12,WalkingAsymmetryPercentage,0.00818181818181818
317,2021-05-12,WalkingDoubleSupportPercentage,0.32593333333333335
318,2021-05-12,WalkingSpeed,3.8034
319,2021-05-12,WalkingStepLength,68.45
320,2021-05-13,HeadphoneAudioExposure,69.5619488372093
321,2021-05-13,WalkingAsymmetryPercentage,0.0325
322,2021-05-13,WalkingDoubleSupportPercentage,0.2918
323,2021-05-13,WalkingSpeed,4.392
324,2021-05-13,WalkingStepLength,71.85714285714286
325,2021-05-14,HeadphoneAudioExposure,71.93855625
326,2021-05-15,HeadphoneAudioExposure,69.74049090909091
327,2021-05-15,WalkingAsymmetryPercentage,0.0
328,2021-05-15,WalkingDoubleSupportPercentage,0.29460000000000003
329,2021-05-15,WalkingSpeed,4.541142857142857
330,2021-05-15,WalkingStepLength,73.14285714285714
331,2021-05-16,HeadphoneAudioExposure,70.09619523809523
332,2021-05-16,WalkingAsymmetryPercentage,0.002
333,2021-05-16,WalkingDoubleSupportPercentage,0.30324999999999996
334,2021-05-16,WalkingSpeed,4.172571428571429
335,2021-05-16,WalkingStepLength,71.0952380952381
336,2021-05-17,HeadphoneAudioExposure,72.27169523809523
337,2021-05-17,WalkingAsymmetryPercentage,0.06
338,2021-05-17,WalkingDoubleSupportPercentage,0.302375
339,2021-05-17,WalkingSpeed,4.1890909090909085
340,2021-05-17,WalkingStepLength,71.72727272727273
341,2021-05-18,HeadphoneAudioExposure,70.62068529411765
342,2021-05-18,WalkingDoubleSupportPercentage,0.286
343,2021-05-18,WalkingSpeed,4.212
344,2021-05-18,WalkingStepLength,74.0
345,2021-05-19,HeadphoneAudioExposure,70.32605454545454
346,2021-05-19,WalkingAsymmetryPercentage,0.007000000000000001
347,2021-05-19,WalkingDoubleSupportPercentage,0.2878823529411765
348,2021-05-19,WalkingSpeed,4.695157894736842
349,2021-05-19,WalkingStepLength,77.05263157894737
350,2021-05-20,HeadphoneAudioExposure,61.708055813953486
351,2021-05-20,WalkingAsymmetryPercentage,0.011666666666666667
352,2021-05-20,WalkingDoubleSupportPercentage,0.2794516129032258
353,2021-05-20,WalkingSpeed,4.804941176470588
354,2021-05-20,WalkingStepLength,76.61764705882354
355,2021-05-21,HeadphoneAudioExposure,72.599328125
356,2021-05-21,WalkingAsymmetryPercentage,0.04736842105263158
357,2021-05-21,WalkingDoubleSupportPercentage,0.321974358974359
358,2021-05-21,WalkingSpeed,3.8215384615384616
359,2021-05-21,WalkingStepLength,66.40384615384616
360,2021-05-22,HeadphoneAudioExposure,72.56746363636363
361,2021-05-22,WalkingAsymmetryPercentage,0.012857142857142857
362,2021-05-22,WalkingDoubleSupportPercentage,0.2849090909090909
363,2021-05-22,WalkingSpeed,4.775142857142858
364,2021-05-22,WalkingStepLength,76.78571428571429
365,2021-05-23,HeadphoneAudioExposure,67.69642857142857
366,2021-05-23,WalkingAsymmetryPercentage,0.3178947368421053
367,2021-05-23,WalkingDoubleSupportPercentage,0.3467142857142857
368,2021-05-23,WalkingSpeed,2.5354285714285716
369,2021-05-23,WalkingStepLength,57.785714285714285
370,2021-05-24,HeadphoneAudioExposure,71.881445
371,2021-05-24,WalkingAsymmetryPercentage,0.018
372,2021-05-24,WalkingDoubleSupportPercentage,0.2952
373,2021-05-24,WalkingSpeed,4.400307692307693
374,2021-05-24,WalkingStepLength,71.15384615384616
375,2021-05-25,HeadphoneAudioExposure,68.85224324324324
376,2021-05-25,WalkingDoubleSupportPercentage,0.333
377,2021-05-25,WalkingSpeed,3.258
378,2021-05-25,WalkingStepLength,58.5
379,2021-05-26,HeadphoneAudioExposure,71.99551363636364
380,2021-05-26,WalkingAsymmetryPercentage,0.12
381,2021-05-26,WalkingDoubleSupportPercentage,0.3136666666666667
382,2021-05-26,WalkingSpeed,4.412307692307692
383,2021-05-26,WalkingStepLength,71.94871794871794
384,2021-05-27,HeadphoneAudioExposure,71.69836111111111
385,2021-05-27,WalkingAsymmetryPercentage,0.002
386,2021-05-27,WalkingDoubleSupportPercentage,0.2845
387,2021-05-27,WalkingSpeed,4.590000000000001
388,2021-05-27,WalkingStepLength,73.14285714285714
389,2021-05-28,HeadphoneAudioExposure,72.73774999999999
390,2021-05-28,WalkingAsymmetryPercentage,0.21944444444444444
391,2021-05-28,WalkingDoubleSupportPercentage,0.3344
392,2021-05-28,WalkingSpeed,3.1037142857142856
393,2021-05-28,WalkingStepLength,62.535714285714285
394,2021-05-29,HeadphoneAudioExposure,73.26971052631579
395,2021-05-29,WalkingAsymmetryPercentage,0.0125
396,2021-05-29,WalkingDoubleSupportPercentage,0.31120000000000003
397,2021-05-29,WalkingSpeed,4.247999999999999
398,2021-05-29,WalkingStepLength,71.1470588235294
399,2021-05-30,HeadphoneAudioExposure,66.78708125
400,2021-05-30,WalkingSpeed,4.827272727272727
401,2021-05-30,WalkingStepLength,76.81818181818181
402,2021-05-31,HeadphoneAudioExposure,69.61997272727272
403,2021-05-31,WalkingSpeed,4.968
404,2021-05-31,WalkingStepLength,75.3
405,2021-06-01,HeadphoneAudioExposure,71.76083529411764
406,2021-06-01,WalkingDoubleSupportPercentage,0.332
407,2021-06-01,WalkingSpeed,4.293
408,2021-06-01,WalkingStepLength,72.625
409,2021-06-02,HeadphoneAudioExposure,70.865555
410,2021-06-02,WalkingDoubleSupportPercentage,0.2985
411,2021-06-02,WalkingSpeed,4.765090909090909
412,2021-06-02,WalkingStepLength,75.54545454545455
413,2021-06-03,HeadphoneAudioExposure,71.61875666666667
